"category","region","state","year","amount"
"Population_(Thousands)","Rocky Mountains","Wyoming",1992,466
"Population_(Thousands)","Southeast","Alabama",1993,4214
"Population_(Thousands)","Far West","Alaska",1993,599
"Population_(Thousands)","Southwest","Arizona",1993,4065
"Population_(Thousands)","Southeast","Arkansas",1993,2456
"Population_(Thousands)","Far West","California",1993,31275
"Population_(Thousands)","Rocky Mountains","Colorado",1993,3614
"Population_(Thousands)","New England","Connecticut",1993,3309
"Population_(Thousands)","Mideast","Delaware",1993,706
"Population_(Thousands)","Mideast","District of Columbia",1993,595
"Population_(Thousands)","Southeast","Florida",1993,13927
"Population_(Thousands)","Southeast","Georgia",1993,6978
"Population_(Thousands)","Far West","Hawaii",1993,1173
"Population_(Thousands)","Rocky Mountains","Idaho",1993,1109
"Population_(Thousands)","Great Lakes","Illinois",1993,11810
"Population_(Thousands)","Great Lakes","Indiana",1993,5739
"Population_(Thousands)","Plains","Iowa",1993,2837
"Population_(Thousands)","Plains","Kansas",1993,2557
"Population_(Thousands)","Southeast","Kentucky",1993,3812
"Population_(Thousands)","Southeast","Louisiana",1993,4316
"Population_(Thousands)","New England","Maine",1993,1242
"Population_(Thousands)","Mideast","Maryland",1993,4972
"Population_(Thousands)","New England","Massachusetts",1993,6061
"Population_(Thousands)","Great Lakes","Michigan",1993,9540
"Population_(Thousands)","Plains","Minnesota",1993,4556
"Population_(Thousands)","Southeast","Mississippi",1993,2655
"Population_(Thousands)","Plains","Missouri",1993,5271
"Population_(Thousands)","Rocky Mountains","Montana",1993,845
"Population_(Thousands)","Plains","Nebraska",1993,1626
"Population_(Thousands)","Far West","Nevada",1993,1411
"Population_(Thousands)","New England","New Hampshire",1993,1129
"Population_(Thousands)","Mideast","New Jersey",1993,7949
"Population_(Thousands)","Southwest","New Mexico",1993,1636
"Population_(Thousands)","Mideast","New York",1993,18375
"Population_(Thousands)","Southeast","North Carolina",1993,7043
"Population_(Thousands)","Plains","North Dakota",1993,641
"Population_(Thousands)","Great Lakes","Ohio",1993,11101
"Population_(Thousands)","Southwest","Oklahoma",1993,3252
"Population_(Thousands)","Far West","Oregon",1993,3060
"Population_(Thousands)","Mideast","Pennsylvania",1993,12120
"Population_(Thousands)","New England","Rhode Island",1993,1015
"Population_(Thousands)","Southeast","South Carolina",1993,3663
"Population_(Thousands)","Plains","South Dakota",1993,722
"Population_(Thousands)","Southeast","Tennessee",1993,5138
"Population_(Thousands)","Southwest","Texas",1993,18162
"Population_(Thousands)","Rocky Mountains","Utah",1993,1898
"Population_(Thousands)","New England","Vermont",1993,578
"Population_(Thousands)","Southeast","Virginia",1993,6510
"Population_(Thousands)","Far West","Washington",1993,5279
"Population_(Thousands)","Southeast","West Virginia",1993,1818
"Population_(Thousands)","Great Lakes","Wisconsin",1993,5085
"Population_(Thousands)","Rocky Mountains","Wyoming",1993,473
"Population_(Thousands)","Southeast","Alabama",1994,4260
"Population_(Thousands)","Far West","Alaska",1994,603
"Population_(Thousands)","Southwest","Arizona",1994,4245
"Population_(Thousands)","Southeast","Arkansas",1994,2494
"Population_(Thousands)","Far West","California",1994,31484
"Population_(Thousands)","Rocky Mountains","Colorado",1994,3724
"Population_(Thousands)","New England","Connecticut",1994,3316
